,Country/Terretory,UN Region,Estimate1,Year1,Estimate2,Year2,Estimate3,Year3
0,,,,,,,,
1,,,,,,,,
2,World,—,"105,568,776",2023,"100,562,011",2022,"96,698,005",2021
3,United States,Americas,"26,854,599",2023,"25,462,700",2022,"23,315,081",2021
4,China,Asia,"19,373,586",2023,"17,963,171",2022,"17,734,131",2021
5,Japan,Asia,"4,409,738",2023,"4,231,141",2022,"4,940,878",2021
6,Germany,Europe,"4,308,854",2023,"4,072,192",2022,"4,259,935",2021
7,India,Asia,"3,736,882",2023,"3,385,090",2022,"3,201,471",2021
8,United Kingdom,Europe,"3,158,938",2023,"3,070,668",2022,"3,131,378",2021
9,France,Europe,"2,923,489",2023,"2,782,905",2022,"2,957,880",2021
10,Italy,Europe,"2,169,745",2023,"2,010,432",2022,"2,107,703",2021
11,Canada,Americas,"2,089,672",2023,"2,139,840",2022,"1,988,336",2021
12,Brazil,Americas,"2,081,235",2023,"1,920,096",2022,"1,608,981",2021
13,Russia,Europe,"2,062,649",2023,"2,240,422",2022,"1,778,782",2021
14,South Korea,Asia,"1,721,909",2023,"1,665,246",2022,"1,810,966",2021
15,Australia,Oceania,"1,707,548",2023,"1,675,419",2022,"1,734,532",2021
16,Mexico,Americas,"1,663,164",2023,"1,414,187",2022,"1,272,839",2021
17,Spain,Europe,"1,492,432",2023,"1,397,509",2022,"1,427,381",2021
18,Indonesia,Asia,"1,391,778",2023,"1,319,100",2022,"1,186,093",2021
19,Netherlands,Europe,"1,080,880",2023,"991,115",2022,"1,012,847",2021
20,Saudi Arabia,Asia,"1,061,902",2023,"1,108,149",2022,"833,541",2021
21,Turkey,Asia,"1,029,303",2023,"905,988",2022,"819,034",2021
22,Switzerland,Europe,"869,601",2023,"807,706",2022,"812,867",2021
23,Taiwan,Asia,"790,728",2023,—,,—,
24,Poland,Europe,"748,887",2023,"688,177",2022,"679,442",2021
25,Argentina,Americas,"641,102",2023,"632,770",2022,"487,227",2021
26,Belgium,Europe,"624,248",2023,"578,604",2022,"594,104",2021
27,Sweden,Europe,"599,052",2023,"585,939",2022,"635,664",2021
28,Ireland,Europe,"594,095",2023,"529,245",2022,"504,183",2021
29,Thailand,Asia,"574,231",2023,"495,341",2022,"505,982",2021
30,Norway,Europe,"554,105",2023,"579,267",2022,"482,175",2021
31,Israel,Asia,"539,223",2023,"522,033",2022,"481,591",2021
32,Singapore,Asia,"515,548",2023,"466,789",2022,"396,992",2021
33,Austria,Europe,"515,199",2023,"471,400",2022,"480,368",2021
34,Nigeria,Africa,"506,601",2023,"477,386",2022,"430,923",2021
35,United Arab Emirates,Asia,"498,978",2023,"507,535",2022,"405,468",2021
36,Vietnam,Asia,"449,094",2023,"408,802",2022,"366,138",2021
37,Malaysia,Asia,"447,026",2023,"406,306",2022,"372,702",2021
